Ясеневая ул.
Авангардная ул.
Тверская ул.
ул. Земляной Вал
ул. Петровка
Театральная пл.
ул. Кузнецкий мост
Спартаковская ул.
Каширское ш.
Сиреневый бул.
ул. Арбат
ул. Новый Арбат
Пятницкое ш.
Митинская ул.
Балаклавский просп.
Кировоградская ул.
Варшавское ш.
Нахимовский просп.
Новочеремушкинская ул.
Ломоносовкий просп.
ул. 10-летия Октября
ул. Крымский Вал
Смоленская ул.
ул. 1905 года
2-я Бауманская ул.
Рубцовская наб.
Госпитальная наб.
Красноказарменная ул.
Севанская ул.
ул. Колобашкина
Кантемировская ул.
Чагинская ул.
ул. Верхние Поля
Нагорная ул.
ул. Капотня
Ставропольская ул.
Тихая ул.
ул. Кухмистерова
Нагатинская наб.
просп. Лихачёва
Автозаводская ул.
ул. Варварка
ул. Ильинка
Софийская наб.
Садовническая ул.
Болотная ул.
Кремлевская наб.
ул. Большая Любянка
Мясницкая ул.
ул. Дурова
Стрелецкая ул.
ул. Фонвизина
Уссурийская ул.
Алтайская ул.
Курганская ул.
Щёлковское ш.
Первомайская ул.
ул. Золоторжский Вал
ул. Свободы
ул. Тюрина
Шипиловский просп.
ул. Пресненский Вал.
Октябрьский пер.
Трифоновская ул.
Пантелеевская ул.
Аманьевский пер.
Сретенский бул.
Пятницкая ул.
ул. Большая Ордынка
ул. Малая Ордынка
ул. Большая Полянка
Донская ул.
Домодедовская ул.
Красносельяская ул.
Скорняжный пер.
ул. Строителей
ул. Ленина
ул. Героев
ул. Александра Невского
ул. Победы
Александровская ул.
Борисовская ул.
Бауманская ул.
1-я Парковая ул.
2-я Парковая ул.
3-я Парковая ул.
Красная ул.
Пражская ул.
Варшавская ул.
Минская ул.
Таллинская ул.
Рижская ул.
Просп. Мира
Берлинский просп.
Брюссельский переулок
Переяславский переулок
ул. Большая Октябрьская
Безмятежный тупик
Проектируемый проезд №518240
Осенняя ул.
Весенняя ул.
Светлая ул.
Осенний бул.
Кленовый бул.
Бухарестская ул.
Брестская ул.
Вроцлавская ул.
Будапештская ул.
Стамбульский переулок
Пекинская площадь
Просп. Академика Сахарова
Просп. Академика Королева
Просп. Юрия Гагарина
Просп. Валентины Терешковой
Просп. Константина Циолковского
Александрийская ул.
Телефонная ул.
ул. Попова
Лиссабонская ул.
Мадридская площадь
Парижский просп.
Амстердамская набережная
Венская ул.
Женевская ул.
Римская площадь
Комсомольская площадь
Курская площадь
Петровская ул.
Корейская ул.
Китайская ул.
Лондонская площадь
Сенная ул.
ул. 1812 года
Ураганная ул.
ул. Кузбасса
ул. Академика Опарина
ул. Д.Э. Розенталя
ул. В.В. Виноградова
ул. А.Н. Тихонова
ул. Зои Космодемьянской
ул. Панфиловцев
ул. Генерала Карбышева
Белорусская ул.
ул. Малая Дмитровка
ул. Большая Садовая
Страстной переулок
ул. Садовая-Самотечная
ул. Пролетарская
ул. Планерная
ул. Архитекторов
Каланчевская ул.
Краснопрудная ул.
Новорязанская ул.
Рязанская ул.
Рязанское шоссе
Калужское шоссе
Рижское шоссе
Шоссе Энтузиастов
Носовихинское шоссе
Выхинская ул.
Ногинское шоссе
Троицкое шоссе
Минское шоссе
Тульский бул.
Ефремовский бул.
Лефортовский бул.
Госпитальный бул.
Боровой бул.
Главная аллея
ул. Новая Дорога
Крюковская ул.
Княжекозловский переулок
Беговая ул.
ул. Гашека
Чешский проезд
Политехнический просп.
ул. Дружбы Народов
Большая Грузинская ул.
Марксистская ул.
Семеновская наб.
Измайловское шоссе
Гольяновский проезд
Просторная ул.
Свободное шоссе
Зеленое шоссе
Бойцовская ул.
Гражданский переулок
Тагильский переулок
Монтажная ул.
Байкальская ул.
Чусовская ул.
Заводской проезд
ул. Восточная линия
Снежная ул.
Шоссе Ильича
Институтская ул.
ул. Горького
ул. Сладкого
ул. Металлургов
Просп. Петуний
